OBJECTID,LIEN_WWW
"222",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10834
"223",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7728
"224",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10874
"225",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10871
"226",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10870
"227",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10764
"228",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10510
"229",https://ge.ch/terextraitfoncier/rapport.aspx?commune=36&parcelle=16235
"230",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=2469
"231",https://ge.ch/terextraitfoncier/rapport.aspx?commune=36&parcelle=6754
"232",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=935
"233",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2635
"234",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=6821
"235",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7448
"236",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10762
"237",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=1938
"238",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=3600
"239",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=4327
"240",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6150
"241",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5255
"242",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5625
"243",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6118
"244",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6504
"245",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5734
"246",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5533
"247",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=2345
"248",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=6068
"249",https://ge.ch/terextraitfoncier/rapport.aspx?commune=46&parcelle=2738
"250",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5448
"251",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=258
"252",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5792
"253",https://ge.ch/terextraitfoncier/rapport.aspx?commune=47&parcelle=5564
